depcom,ze10,canton_ville,dep,categorie_com,pop,pophom,popfem,actemp_hom,actemp_fem,chom_hom,chom_fem,ret,ele,foy_hom,foy_fem,ina,autre,part_ele,part_ret,academie,libgeo,partchfem
01257,8219,0103,01,300,330,168,162,92,78,5,6,61,21,NA,6,62,NA,6.3636363636,18484848485,L,Montanges (01257),0
01258,8213,0132,01,112,1164,590,574,287,248,16,40,162,105,NA,22,284,NA,9.0206185567,13917525773,L,Montceaux (01258),0.2
01259,8202,0143,01,112,665,351,314,184,158,7,12,78,53,2,6,165,NA,7.969924812,11729323308,L,Montcet (01259),0
01260,8214,0119,01,112,244,119,125,59,52,3,6,46,21,NA,5,52,NA,8.606557377,18852459016,L,Montellier (Le) (01260),0
01261,8213,0135,01,112,599,302,297,164,147,5,12,66,57,1,11,135,NA,9.5158597663,1101836394,L,Monthieux (01261),0
01262,8214,0120,01,111,6999,3332,3667,1628,1486,204,171,1198,502,3,278,1529,NA,7.1724532076,17116730962,L,Montluel (01262),0.7
01263,8213,0132,01,112,3823,1869,1954,890,807,61,84,802,222,2,76,879,NA,5.8069578865,20978289302,L,Montmerle-sur-Saône (01263),0.3
01264,8202,0139,01,112,967,464,503,252,226,8,11,176,51,NA,8,235,NA,5.2740434333,18200620476,L,Montracol (01264),0
01265,8203,0122,01,221,3457,1720,1737,830,647,99,101,657,222,1,137,763,NA,6.421752965,19004917559,L,Montréal-la-Cluse (01265),0.4
01266,8202,0121,01,112,2362,1094,1268,514,506,13,24,731,120,2,39,413,NA,5.0804403048,30948348857,L,Montrevel-en-Bresse (01266),0.1
01267,8203,0116,01,300,1058,539,519,267,226,15,25,200,58,2,19,246,NA,5.4820415879,18903591682,L,Nurieux-Volognat (01267),0.1
01268,8216,0104,01,300,241,124,117,61,49,1,2,55,13,NA,9,50,NA,5.3941908714,22821576763,L,Murs-et-Gélignieux (01268),0
01269,8203,0122,01,221,3713,1798,1915,844,641,124,103,733,235,7,180,845,NA,6.3291139241,19741448963,L,Nantua (01269),0.4
01271,8216,0104,01,120,564,266,298,140,124,6,6,112,38,NA,12,125,NA,6.7375886525,19858156028,L,Nattages (01271),0
01272,8213,0110,01,120,1504,738,766,371,314,32,38,351,87,2,19,291,NA,5.7845744681,23337765957,L,Neuville-les-Dames (01272),0.1
01273,8201,0125,01,120,1571,804,767,390,314,35,46,299,85,1,39,362,NA,5.4105665181,19032463399,L,Neuville-sur-Ain (01273),0.2
01274,8203,0122,01,221,637,320,317,128,98,31,25,114,35,NA,40,165,NA,5.4945054945,17896389325,L,Neyrolles (Les) (01274),0.1
01275,8214,0140,01,111,2472,1234,1238,618,565,50,46,470,220,2,60,441,NA,8.8996763754,19012944984,L,Neyron (01275),0.2
01276,8214,0120,01,112,1488,746,742,404,358,24,23,205,140,3,32,300,NA,9.4086021505,1377688172,L,Niévroz (01276),0.1
01277,8201,0128,01,112,143,77,66,37,26,3,4,35,2,NA,3,33,NA,1.3986013986,24475524476,L,Nivollet-Montgriffon (01277),0
01279,8201,0128,01,112,91,43,48,21,17,NA,1,25,9,NA,3,16,NA,9.8901098901,27472527473,L,Oncieu (01279),0
01280,8201,0118,01,300,141,76,65,30,23,6,6,37,6,NA,1,33,NA,4.2553191489,26241134752,L,Ordonnaz (01280),0
01281,8219,0113,01,111,3531,1715,1816,929,794,43,62,427,286,10,168,812,NA,8.0996884735,12092891532,L,Ornex (01281),0.2
01282,8203,0106,01,300,256,133,123,70,55,1,3,52,21,NA,6,48,NA,8.203125,203125,L,Outriaz (01282),0
01283,8203,0198,01,111,22650,11122,11528,4602,3748,999,904,4436,1400,33,978,5551,NA,6.1810154525,19584988962,L,Oyonnax (01283),3.6
01284,0053,0126,01,112,618,314,304,156,138,7,12,104,35,NA,10,156,NA,5.6634304207,16828478964,L,Ozan (01284),0
01285,8213,0142,01,111,1095,547,548,276,242,23,15,178,122,NA,20,220,NA,11.141552511,16255707763,L,Parcieux (01285),0.1
01286,8216,0104,01,212,360,181,179,70,77,9,8,94,27,NA,4,71,NA,7.5,26111111111,L,Parves (01286),0
01288,8219,0112,01,112,2143,1098,1045,595,517,34,38,222,145,6,77,509,NA,6.7662155856,10359309379,L,Péron (01288),0.1
01289,8202,0139,01,111,6054,2922,3132,1356,1261,89,120,1687,426,3,98,1014,NA,7.0366699703,27865873802,L,Péronnas (01289),0.5
01290,8201,0119,01,112,1204,587,617,285,255,24,29,267,97,1,30,215,NA,8.0564784053,22176079734,L,Pérouges (01290),0.1
01291,0053,0127,01,120,826,405,421,204,201,8,18,176,39,2,6,172,NA,4.7215496368,21307506053,L,Perrex (01291),0.1
01292,8203,0106,01,400,138,74,64,34,32,3,2,42,5,NA,2,18,NA,3.6231884058,30434782609,L,Petit-Abergement (Le) (01292),0
01293,8203,0116,01,300,171,91,80,46,39,2,1,29,14,NA,2,38,NA,8.1871345029,16959064327,L,Peyriat (01293),0
01294,8216,0104,01,300,821,407,414,191,164,16,18,160,32,NA,24,217,NA,3.8976857491,19488428745,L,Peyrieu (01294),0.1
01295,8213,0132,01,112,473,233,240,121,120,8,11,42,27,NA,3,141,NA,5.7082452431,88794926004,L,Peyzieux-sur-Saône (01295),0
01296,8202,0111,01,112,360,194,166,101,71,7,9,83,15,NA,4,71,NA,4.1666666667,23055555556,L,Pirajoux (01296),0
01297,8214,0120,01,112,777,395,382,212,188,7,7,102,78,NA,13,170,NA,10.038610039,13127413127,L,Pizay (01297),0
01298,8219,0103,01,300,129,69,60,34,26,1,2,29,4,1,1,31,NA,3.1007751938,22480620155,L,Plagne (01298),0
01299,8214,0108,01,112,540,291,249,134,115,8,11,75,56,NA,9,132,NA,10.37037037,13888888889,L,Plantay (Le) (01299),0
01300,8203,0122,01,300,422,204,218,120,89,3,7,73,21,NA,9,101,NA,4.9763033175,17298578199,L,Poizat (Le) (01300),0
01301,8202,0143,01,112,2403,1199,1204,594,530,26,47,593,129,2,29,452,NA,5.368289638,24677486475,L,Polliat (01301),0.2
01302,8216,0104,01,212,157,73,84,40,33,NA,3,41,9,NA,3,28,NA,5.7324840764,26114649682,L,Pollieu (01302),0
01303,8201,0124,01,120,1644,826,818,368,301,37,49,400,94,NA,36,360,NA,5.7177615572,24330900243,L,Poncin (01303),0.2
01304,8201,0125,01,112,2627,1316,1311,581,492,83,77,613,135,4,81,561,NA,5.1389417587,23334602208,L,Pont-d'Ain (01304),0.3
01305,0053,0126,01,120,2205,1019,1186,449,410,55,69,722,89,1,48,363,NA,4.0362811791,32743764172,L,Pont-de-Vaux (01305),0.3
01306,0053,0127,01,112,1593,770,823,405,328,27,38,403,92,1,44,256,NA,5.7752667922,25298179535,L,Pont-de-Veyle (01306),0.1
01307,8203,0122,01,221,847,425,422,213,176,25,27,165,47,NA,28,168,NA,5.5489964581,19480519481,L,Port (01307),0.1
01308,8219,0112,01,112,802,394,408,204,164,10,20,117,49,1,37,199,NA,6.1097256858,14588528678,L,Pougny (01308),0.1
01309,8202,0133,01,112,88,52,36,24,16,1,NA,22,5,NA,NA,20,NA,5.6818181818,25,L,Pouillat (01309),NA
01310,8216,0104,01,212,234,150,84,34,20,NA,6,67,4,NA,3,101,NA,1.7094017094,28632478632,L,Prémeyzel (01310),0
01311,8203,0115,01,222,36,19,17,6,8,1,NA,14,1,NA,NA,5,NA,2.7777777778,38888888889,L,Prémillieu (01311),NA
01312,8202,0133,01,112,224,114,110,65,47,2,8,35,12,NA,5,50,NA,5.3571428571,15625,L,Pressiat (01312),0
01313,8219,0113,01,111,5980,2891,3089,1473,1350,122,129,641,469,14,325,1457,NA,7.8428093645,10719063545,L,Prévessin-Moëns (01313),0.5
01314,8201,0125,01,112,1488,733,755,356,321,25,34,287,94,NA,22,349,NA,6.3172043011,19287634409,L,Priay (01314),0.1
01316,8216,0136,01,212,168,89,79,41,33,5,3,36,9,NA,4,37,NA,5.3571428571,21428571429,L,Pugieu (01316),0
01317,8202,0107,01,112,250,124,126,65,59,1,4,60,14,NA,1,46,NA,5.6,24,L,Ramasse (01317),0
