depcom;ze10;canton_ville;dep;categorie_com;pop;pophom;popfem;actemp_hom;actemp_fem;chom_hom;chom_fem;ret;ele;foy_hom;foy_fem;ina;autre;part_ele;part_ret;academie;libgeo
01348;8213;0132;01;120;2776;1362;1414;655;538;32;57;606;181;3;71;632;;6.5201729107;21.829971182;L;Saint-Didier-sur-Chalaronne (01348)
01349;8201;0119;01;112;399;203;196;104;92;3;3;80;37;1;15;65;;9.2731829574;20.050125313;L;Saint-Éloi (01349)
01350;8202;0133;01;112;2441;1198;1243;599;518;27;45;580;133;2;35;501;;5.4485866448;23.760753789;L;Saint-Étienne-du-Bois (01350)
01351;8213;0132;01;112;1468;752;716;355;296;35;26;244;101;4;35;371;;6.8801089918;16.621253406;L;Saint-Étienne-sur-Chalaronne (01351)
01352;0053;0126;01;120;531;289;242;124;95;8;15;132;23;;10;125;;4.3314500942;24.858757062;L;Saint-Étienne-sur-Reyssouze (01352)
01353;8213;0142;01;111;1482;725;757;376;347;14;19;192;142;1;36;356;;9.5816464238;12.955465587;L;Sainte-Euphémie (01353)
01354;8219;0113;01;111;8914;4615;4299;2526;1877;172;223;1028;519;11;434;2125;;5.8223019969;11.532420911;L;Saint-Genis-Pouilly (01354)
01355;0053;0127;01;120;408;211;197;114;91;7;10;69;20;;6;89;;4.9019607843;16.911764706;L;Saint-Genis-sur-Menthon (01355)
01356;8213;0110;01;112;197;104;93;50;47;2;1;26;12;1;2;55;;6.0913705584;13.197969543;L;Saint-Georges-sur-Renon (01356)
01357;8219;0103;01;300;480;250;230;111;85;17;18;90;22;1;21;115;;4.5833333333;18.75;L;Saint-Germain-de-Joux (01357)
01358;8216;0104;01;212;387;196;191;85;73;15;6;97;21;1;12;77;;5.4263565891;25.064599483;L;Saint-Germain-les-Paroisses (01358)
01359;8213;0135;01;112;236;127;109;72;56;3;2;48;11;;5;40;;4.6610169492;20.338983051;L;Saint-Germain-sur-Renon (01359)
01360;8219;0112;01;112;1496;767;729;433;339;24;19;198;93;1;60;330;;6.2165775401;13.235294118;L;Saint-Jean-de-Gonville (01360)
01361;8201;0119;01;112;1421;732;689;388;326;18;23;209;115;1;30;310;;8.0928923293;14.707952146;L;Saint-Jean-de-Niost (01361)
01362;8213;0142;01;112;710;364;346;195;177;10;6;96;41;;8;177;;5.7746478873;13.521126761;L;Saint-Jean-de-Thurigneux (01362)
01363;8201;0124;01;112;1609;800;809;411;337;16;26;345;105;;51;319;;6.5257924177;21.441889372;L;Saint-Jean-le-Vieux (01363)
01364;8202;0129;01;112;744;394;350;178;130;16;17;187;43;2;21;150;;5.7795698925;25.134408602;L;Saint-Jean-sur-Reyssouze (01364)
01365;0053;0127;01;112;1082;537;545;263;259;13;8;220;66;3;19;232;;6.0998151571;20.33271719;L;Saint-Jean-sur-Veyle (01365)
01366;8201;0117;01;112;889;458;431;229;211;15;21;113;46;3;16;234;;5.1743532058;12.710911136;L;Sainte-Julie (01366)
01367;8202;0129;01;112;668;341;327;164;133;15;14;159;26;;14;142;;3.8922155689;23.80239521;L;Saint-Julien-sur-Reyssouze (01367)
01368;8213;0110;01;120;715;369;346;177;156;11;15;131;36;;14;176;;5.034965035;18.321678322;L;Saint-Julien-sur-Veyle (01368)
01369;8202;0139;01;111;881;463;418;215;191;11;14;177;66;;11;195;;7.4914869467;20.090805902;L;Saint-Just (01369)
01370;0053;0102;01;111;1749;816;933;466;409;43;56;353;70;;34;317;;4.0022870212;20.182961692;L;Saint-Laurent-sur-Saône (01370)
01371;8214;0135;01;112;1212;622;590;337;290;19;27;125;108;;17;289;;8.9108910891;10.313531353;L;Saint-Marcel (01371)
01372;8216;0136;01;300;443;222;221;102;100;8;8;87;24;;3;111;;5.4176072235;19.638826185;L;Saint-Martin-de-Bavel (01372)
01373;8203;0122;01;300;1077;543;534;288;229;18;22;209;59;2;34;216;;5.47818013;19.405756732;L;Saint-Martin-du-Frêne (01373)
01374;8202;0125;01;112;1651;848;803;418;372;13;18;352;105;1;32;340;;6.3597819503;21.320411872;L;Saint-Martin-du-Mont (01374)
01375;8202;0121;01;112;790;407;383;208;188;13;8;133;49;;5;186;;6.2025316456;16.835443038;L;Saint-Martin-le-Châtel (01375)
01376;8214;0140;01;111;3865;1835;2030;842;805;103;117;790;276;1;90;839;;7.1410090556;20.439844761;L;Saint-Maurice-de-Beynost (01376)
01378;8201;0119;01;112;2498;1255;1243;631;551;22;33;406;160;3;64;628;;6.4051240993;16.253002402;L;Saint-Maurice-de-Gourdans (01378)
01379;8201;0101;01;112;709;361;348;168;141;16;24;139;33;1;19;168;;4.6544428773;19.605077574;L;Saint-Maurice-de-Rémens (01379)
01380;8202;0129;01;120;703;350;353;145;103;13;11;208;39;2;22;160;;5.5476529161;29.587482219;L;Saint-Nizier-le-Bouchoux (01380)
01381;8214;0108;01;112;880;450;430;223;193;12;18;118;58;2;19;238;;6.5909090909;13.409090909;L;Saint-Nizier-le-Désert (01381)
01382;8213;0130;01;112;303;158;145;86;71;3;2;52;19;;4;66;;6.2706270627;17.161716172;L;Sainte-Olive (01382)
01383;8214;0135;01;120;1551;767;784;350;324;16;30;263;101;1;34;433;;6.5119277885;16.956802063;L;Saint-Paul-de-Varax (01383)
01384;8201;0128;01;112;2164;1013;1151;446;370;56;64;531;107;4;88;497;;4.9445471349;24.537892791;L;Saint-Rambert-en-Bugey (01384)
01385;8202;0139;01;112;906;455;451;228;218;11;13;174;61;1;11;190;;6.7328918322;19.205298013;L;Saint-Rémy (01385)
01386;8201;0117;01;112;1061;540;521;285;240;18;22;204;58;1;28;205;;5.4665409991;19.227144204;L;Saint-Sorlin-en-Bugey (01386)
01387;8202;0121;01;112;142;76;66;38;29;5;1;31;5;;;33;;3.5211267606;21.830985915;L;Saint-Sulpice (01387)
01388;8202;0129;01;400;1013;494;519;203;158;13;29;393;37;;21;159;;3.6525172754;38.795656466;L;Saint-Trivier-de-Courtes (01388)
01389;8213;0130;01;112;1877;953;924;465;376;26;33;384;139;;34;420;;7.4054342035;20.458177944;L;Saint-Trivier-sur-Moignans (01389)
01390;8201;0117;01;112;957;497;460;227;181;13;27;176;49;1;21;261;;5.1201671891;18.390804598;L;Saint-Vulbas (01390)
01391;8202;0111;01;112;284;150;134;60;55;4;4;101;14;;3;43;;4.9295774648;35.563380282;L;Salavre (01391)
01392;8203;0116;01;112;718;370;348;201;169;4;15;85;48;;7;189;;6.6852367688;11.838440111;L;Samognat (01392)
01393;8213;0110;01;112;524;268;256;143;119;3;11;79;29;;9;131;;5.534351145;15.076335878;L;Sandrans (01393)
01396;8201;0117;01;112;1043;525;518;240;181;33;39;246;41;;54;210;;3.9309683605;23.585810163;L;Sault-Brénaz (01396)
01397;8219;0113;01;112;1078;529;549;277;239;24;14;140;87;1;60;237;;8.0705009276;12.987012987;L;Sauverny (01397)
01398;8213;0130;01;112;1204;601;603;317;287;17;15;193;85;1;13;277;;7.0598006645;16.029900332;L;Savigneux (01398)
01399;8219;0114;01;112;1649;796;853;432;393;24;30;254;108;3;62;343;;6.5494238933;15.403274712;L;Ségny (01399)
01400;8201;0118;01;112;138;75;63;35;31;3;2;34;7;;3;23;;5.0724637681;24.637681159;L;Seillonnaz (01400)
01401;8219;0113;01;111;1977;984;993;513;447;23;41;241;119;5;97;491;;6.019221042;12.190187152;L;Sergy (01401)
01402;0053;0126;01;300;669;325;344;158;119;6;18;191;26;;15;135;;3.8863976084;28.550074738;L;Sermoyer (01402)
01403;8201;0118;01;112;1174;585;589;261;217;34;28;260;60;2;32;280;;5.1107325383;22.146507666;L;Serrières-de-Briord (01403)
01404;8201;0116;01;120;119;66;53;35;22;3;4;36;1;;3;15;;0.8403361345;30.25210084;L;Serrières-sur-Ain (01404)
01405;8202;0139;01;112;1184;604;580;286;245;13;17;175;77;1;29;341;;6.5033783784;14.780405405;L;Servas (01405)
01406;8202;0129;01;120;160;83;77;40;29;1;1;49;6;2;3;29;;3.75;30.625;L;Servignat (01406)
01407;8219;0131;01;300;942;487;455;246;180;32;31;178;41;;31;204;;4.3524416136;18.89596603;L;Seyssel (01407)
01408;8202;0107;01;112;650;335;315;171;143;5;12;122;39;;10;149;;6;18.769230769;L;Simandre-sur-Suran (01408)
